id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,data_jogo,num_apostas
1,Flamengo,Grêmio,dom.,16:00,1.25,5.75,11.5,2025-08-31 16:00:00,
2,Santos,Fluminense,dom.,16:00,2.35,3.25,3.0,2025-08-31 16:00:00,
3,Corinthians,Palmeiras,dom.,18:30,3.1,3.1,2.38,2025-08-31 18:30:00,
4,Mirassol,Bahia,dom.,18:30,2.16,3.35,3.3,2025-08-31 18:30:00,
5,Vitória,Atlético-MG,dom.,18:30,2.85,3.05,2.6,2025-08-31 18:30:00,
6,Internacional,Fortaleza,dom.,20:30,1.61,3.9,5.3,2025-08-31 20:30:00,
7,Sport,Vasco,dom.,20:30,2.4,3.25,2.9,2025-08-31 20:30:00,
8,Fortaleza,Vitória,13 de set.,16:00,2.14,3.1,3.55,2025-09-13 16:00:00,
9,Grêmio,Mirassol,13 de set.,16:00,2.14,3.1,3.55,2025-09-13 16:00:00,
10,Palmeiras,Internacional,13 de set.,18:30,1.58,3.65,6.0,2025-09-13 18:30:00,
11,Fluminense,Corinthians,13 de set.,21:00,2.05,3.25,3.6,2025-09-13 21:00:00,
12,Bragantino,Sport,14 de set.,11:00,1.67,3.5,5.4,2025-09-14 11:00:00,
13,Atlético-MG,Santos,14 de set.,16:00,1.68,3.7,4.7,2025-09-14 16:00:00,
14,Juventude,Flamengo,14 de set.,16:00,6.0,3.9,1.54,2025-09-14 16:00:00,
15,São Paulo,Botafogo,14 de set.,17:30,2.43,3.15,2.88,2025-09-14 17:30:00,
16,Vasco,Ceará,14 de set.,20:30,2.2,3.1,3.4,2025-09-14 20:30:00,
17,Ceará,Juventude,sáb.,16:00,1.56,3.9,6.0,2025-08-30 16:00:00,
18,Botafogo,Bragantino,sáb.,18:30,1.56,3.9,6.0,2025-08-30 18:30:00,
19,Cruzeiro,São Paulo,sáb.,21:00,1.84,3.4,4.4,2025-08-30 21:00:00,
20,Flamengo,Grêmio,dom.,16:00,1.24,5.75,12.0,2025-08-31 16:00:00,
21,Santos,Fluminense,dom.,16:00,2.32,3.25,3.05,2025-08-31 16:00:00,
22,Corinthians,Palmeiras,dom.,18:30,3.0,3.15,2.4,2025-08-31 18:30:00,
23,Mirassol,Bahia,dom.,18:30,2.33,3.35,2.95,2025-08-31 18:30:00,
24,Vitória,Atlético-MG,dom.,18:30,2.75,3.1,2.63,2025-08-31 18:30:00,
25,Internacional,Fortaleza,dom.,20:30,1.61,3.95,5.2,2025-08-31 20:30:00,
26,Sport,Vasco,dom.,20:30,2.43,3.2,2.9,2025-08-31 20:30:00,
27,Fortaleza,Vitória,13 de set.,16:00,2.14,3.1,3.55,2025-09-13 16:00:00,
28,Grêmio,Mirassol,13 de set.,16:00,2.14,3.1,3.55,2025-09-13 16:00:00,
